MPN583a,BBF10K_001334
MG_RS01625,BBF10K_001742
MPN121,BBF10K_000863
MPN657,BBF10K_001408
acpS,BBF10K_001048
MG_RS01690,BBF10K_001750
MG_RS02490,BBF10K_001897
MG_RS00670,BBF10K_001570
MG_RS01815,BBF10K_001774
MPN488a,BBF10K_001233
MG_RS01635,BBF10K_001744
MG_RS01780,BBF10K_001767
MPN527,BBF10K_001274
araD,BBF10K_001245
MG_RS01365,BBF10K_001695
MG_RS00815,BBF10K_001595
rpmH,BBF10K_001433
MPN080,BBF10K_000829
MG_RS00180,BBF10K_001472
MG_RS00390,BBF10K_001514
MPN280,BBF10K_001031
atpC,BBF10K_001883
MPN090,BBF10K_000839
MG_RS01865,BBF10K_001784
MPN579,BBF10K_001329
MG_RS02515,BBF10K_001902
MPN414,BBF10K_001165
MG_RS00700,BBF10K_001576
MG_RS02100,BBF10K_001822
MG_RS01650,BBF10K_001747
MG_RS02575,BBF10K_001915
MPN512,BBF10K_001259
MPN426,BBF10K_001177
MG_RS01525,BBF10K_001723
gcp,BBF10K_000807
mtlA,BBF10K_001401
MG_RS02535,BBF10K_001906
MG_RS02435,BBF10K_001886
MG_RS01100,BBF10K_001654
tpiA,BBF10K_001381
pstA,BBF10K_001362
MPN144,BBF10K_000885
ugpE,BBF10K_000877
pyrH,BBF10K_001384
MPN489,BBF10K_001234
MG_RS01550,BBF10K_001727
MG_RS02470,BBF10K_001893
ileS,BBF10K_001267
MG_RS01055,BBF10K_001644
rpsU,BBF10K_001046
MPN551,BBF10K_001301
MG_RS02120,BBF10K_001826
MG_RS00015,BBF10K_001441
MG_RS01195,BBF10K_001671
MG_RS02085,BBF10K_001819
MPN344,BBF10K_001093
MG_RS02280,BBF10K_001856
MG_RS02060,BBF10K_001814
tdk,BBF10K_000790
cpt2,BBF10K_000856
MPN234,BBF10K_000980
MG_RS01785,BBF10K_001768
MG_RS02685,BBF10K_001936
lepA,BBF10K_001030
MG_RS01185,BBF10K_001669
MG_RS02275,BBF10K_001855
MG_RS01600,BBF10K_001737
MG_RS01655,BBF10K_001748
MG_RS01405,BBF10K_001703
MPN382,BBF10K_001129
MG_RS01290,BBF10K_001682
glpD,BBF10K_000799
MG_RS01395,BBF10K_001701
infA,BBF10K_000929
MPN161,BBF10K_000902
MPN410,BBF10K_001160
MPN286,BBF10K_001035
rpmJ,BBF10K_000930
MG_RS02205,BBF10K_001840
hsdS,BBF10K_000838
MPN647,BBF10K_001397
MPN539a,BBF10K_001289
K05_orf499,BBF10K_001412
MPN505,BBF10K_001251
rpmA,BBF10K_001076
ptsH,BBF10K_000801
MG_RS00860,BBF10K_001604
MPN374,BBF10K_001120
MG_RS02165,BBF10K_001832
MPN310,BBF10K_001058
MPN462,BBF10K_001207
gyrB,BBF10K_000751
MG_RS00755,BBF10K_001586
MPN218a,BBF10K_000963
dhfr,BBF10K_001070
MG_RS01370,BBF10K_001696
MG_RS00195,BBF10K_001475
uvrA,BBF10K_001371
dnaE,BBF10K_001101
MPN148,BBF10K_000887
dnaE,BBF10K_001125
MG_RS01155,BBF10K_001663
infB,BBF10K_000896
MG_RS00465,BBF10K_001529
rpsL,BBF10K_000970
MG_RS01345,BBF10K_001691
rplW,BBF10K_000908
MG_RS02040,BBF10K_001810
MG_RS01280,BBF10K_001680
MPN385,BBF10K_001132
MG_RS01885,BBF10K_001788
MG_RS01360,BBF10K_001694
MG_RS02645,BBF10K_001929
MG_RS02675,BBF10K_001934
MPN363,BBF10K_001112
yabB,BBF10K_001062
smpB,BBF10K_000823
cbiO,BBF10K_000935
MPN370,BBF10K_001117
MG_RS00875,BBF10K_001607
MG_RS01135,BBF10K_001660
MG_RS00730,BBF10K_001581
MPN611,BBF10K_001363
MG_RS00830,BBF10K_001598
rplC,BBF10K_000906
MPN672a,BBF10K_001423
MG_RS01160,BBF10K_001664
MG_RS00625,BBF10K_001561
ptc1,BBF10K_000993
MPN635,BBF10K_001385
topA,BBF10K_001009
MG_RS00125,BBF10K_001461
MPN580,BBF10K_001330
MG_RS01170,BBF10K_001666
rplU,BBF10K_001074
atpC,BBF10K_001349
MG_RS02405,BBF10K_001880
MPN453,BBF10K_001201
MPN306,BBF10K_001054
MG_RS01810,BBF10K_001773
gidB,BBF10K_001308
dnaE,BBF10K_000762
MG_RS02690,BBF10K_001937
MG_RS00310,BBF10K_001499
gtaB,BBF10K_001418
MPN646,BBF10K_001396
yfiB,BBF10K_001382
rpmB,BBF10K_001376
MPN376a,BBF10K_001123
orf7,BBF10K_001198
MG_RS00365,BBF10K_001509
MG_RS00470,BBF10K_001530
MPN479,BBF10K_001223
MPN649,BBF10K_001399
MG_RS02670,BBF10K_001933
MG_RS01750,BBF10K_001761
MG_RS01725,BBF10K_001758
MG_RS01800,BBF10K_001771
MG_RS00770,BBF10K_001589
trx,BBF10K_001011
MPN687,BBF10K_001438
MPN271a,BBF10K_001021
deoD,BBF10K_000811
atpA,BBF10K_001352
ygiH,BBF10K_001098
ackA,BBF10K_001281
MG_RS02220,BBF10K_001843
MG_RS00995,BBF10K_001632
MG_RS01090,BBF10K_001652
MG_RS01230,BBF10K_001678
MPN524,BBF10K_001271
eno,BBF10K_001358
MG_RS00435,BBF10K_001523
MPN290,BBF10K_001040
efp,BBF10K_000777
MPN513,BBF10K_001260
MG_RS00210,BBF10K_001478
MG_RS02550,BBF10K_001910
MG_RS02410,BBF10K_001881
yabF,BBF10K_000821
rpmG,BBF10K_001214
MG_RS01965,BBF10K_001795
MG_RS00445,BBF10K_001525
bcrA,BBF10K_001083
MPN070,BBF10K_000819
MPN387,BBF10K_001134
MG_RS01420,BBF10K_001706
MG_RS01305,BBF10K_001684
MPN645,BBF10K_001395
ksgA,BBF10K_001430
MG_RS02710,BBF10K_001941
MPN253a,BBF10K_001000
osmC,BBF10K_001419
MG_RS02330,BBF10K_001865
rpsS,BBF10K_000910
MPN584,BBF10K_001335
MPN137,BBF10K_000878
MPN118,BBF10K_000860
MPN448,BBF10K_001196
MG_RS01850,BBF10K_001781
MG_RS00455,BBF10K_001527
MPN582,BBF10K_001332
scpA,BBF10K_001050
MG_RS02850,BBF10K_001908
MG_RS00060,BBF10K_001450
engA,BBF10K_001219
MPN641,BBF10K_001391
MG_RS02735,BBF10K_001946
MPN343,BBF10K_001092
MPN153,BBF10K_000892
MG_RS00215,BBF10K_001479
MPN042,BBF10K_000787
MG_RS01340,BBF10K_001690
MG_RS01530,BBF10K_001724
rplL,BBF10K_001288
MPN346,BBF10K_001094
lcnDR3,BBF10K_001321
cmk,BBF10K_001220
MG_RS01410,BBF10K_001704
dnaB,BBF10K_000978
MPN510,BBF10K_001257
MG_RS01500,BBF10K_001718
MPN644,BBF10K_001394
yjeQ,BBF10K_000995
yabD,BBF10K_000757
MG_RS01315,BBF10K_001686
lplA,BBF10K_001135
MPN410a,BBF10K_001161
MG_RS02750,BBF10K_001949
MG_RS00235,BBF10K_001483
MPN675,BBF10K_001427
MPN311,BBF10K_001059
MPN163,BBF10K_000904
ysxB,BBF10K_001075
MG_RS01830,BBF10K_001777
MPN511,BBF10K_001258
MG_RS01210,BBF10K_001674
gatB,BBF10K_000984
MG_RS00305,BBF10K_001498
MG_RS00805,BBF10K_001593
def,BBF10K_000991
MG_RS02745,BBF10K_001948
ftsH,BBF10K_001422
udk,BBF10K_001311
MG_RS02190,BBF10K_001837
MPN421,BBF10K_001172
MG_RS01180,BBF10K_001668
F11_orf887,BBF10K_001144
cysA,BBF10K_001436
MG_RS02530,BBF10K_001905
MG_RS02740,BBF10K_001947
MG_RS02210,BBF10K_001841
MG_RS00225,BBF10K_001481
MG_RS02760,BBF10K_001951
mte1,BBF10K_000941
xdj1,BBF10K_000750
MG_RS01150,BBF10K_001662
MPN477,BBF10K_001221
tsf,BBF10K_001383
MG_RS02445,BBF10K_001888
MPN570,BBF10K_001320
MG_RS02355,BBF10K_001870
P37,BBF10K_001166
ygl1,BBF10K_001014
MPN339,BBF10K_001088
MG_RS00020,BBF10K_001442
MPN013,BBF10K_000761
MG_RS01165,BBF10K_001665
MPN586,BBF10K_001337
soj,BBF10K_001439
ruvB,BBF10K_001285
MG_RS00825,BBF10K_001597
MPN484,BBF10K_001229
leuS,BBF10K_001131
MG_RS02285,BBF10K_001857
MG_RS02695,BBF10K_001938
deaD,BBF10K_001375
MPN032,BBF10K_000780
MG_RS00500,BBF10K_001536
MPN605,BBF10K_001357
MPN525,BBF10K_001272
yacA,BBF10K_000967
yacO,BBF10K_001103
MG_RS02095,BBF10K_001821
pmsR,BBF10K_001359
MPN270,BBF10K_001019
MG_RS01120,BBF10K_001658
MPN456,BBF10K_001204
MPN214,BBF10K_000958
MG_RS02270,BBF10K_001854
MG_RS00950,BBF10K_001622
MPN037,BBF10K_000785
MG_RS01115,BBF10K_001657
truA,BBF10K_000939
MG_RS02510,BBF10K_001901
atpB,BBF10K_001356
lip2,BBF10K_001216
rpoA,BBF10K_000933
MG_RS02225,BBF10K_001844
MG_RS01795,BBF10K_001770
MPN338,BBF10K_001087
MPN318,BBF10K_001067
MG_RS00265,BBF10K_001489
hlyC,BBF10K_000900
MPN104a,BBF10K_000847
MG_RS00850,BBF10K_001602
MPN109,BBF10K_000852
MG_RS00260,BBF10K_001488
rplP,BBF10K_000913
MG_RS00415,BBF10K_001519
potI,BBF10K_000805
MG_RS01475,BBF10K_001717
plsX,BBF10K_001296
MG_RS01045,BBF10K_001642
MPN673,BBF10K_001425
MG_RS02180,BBF10K_001835
MG_RS02465,BBF10K_001892
MG_RS00985,BBF10K_001630
MG_RS02715,BBF10K_001942
MPN287,BBF10K_001036
secE,BBF10K_000817
MPN276,BBF10K_001026
MG_RS02620,BBF10K_001924
MG_RS02560,BBF10K_001912
MG_RS01975,BBF10K_001797
MPN111,BBF10K_000854
MG_RS00275,BBF10K_001491
MG_RS00550,BBF10K_001546
MG_RS00915,BBF10K_001615
MG_RS01745,BBF10K_001760
MG_RS02290,BBF10K_001858
MG_RS00515,BBF10K_001539
rplN,BBF10K_000916
MG_RS02430,BBF10K_001885
MPN655a,BBF10K_001407
ywdF,BBF10K_000824
MG_RS02295,BBF10K_001859
MPN362,BBF10K_001111
MPN038,BBF10K_000786
MG_RS00440,BBF10K_001524
MPN497,BBF10K_001244
MG_RS01925,BBF10K_001794
MPN407,BBF10K_001156
uvrC,BBF10K_000867
MG_RS02400,BBF10K_001879
phoU,BBF10K_001360
rpsE,BBF10K_000924
glpQ,BBF10K_001316
MPN578,BBF10K_001328
MG_RS00370,BBF10K_001510
argS,BBF10K_001306
MPN199,BBF10K_000942
MPN255,BBF10K_001002
MG_RS01175,BBF10K_001667
ppa,BBF10K_001275
MPN112,BBF10K_000855
MPN403,BBF10K_001151
trxB,BBF10K_000986
MG_RS01710,BBF10K_001754
scpB,BBF10K_001051
MPN200,BBF10K_000945
MPN409,BBF10K_001159
parC,BBF10K_000865
MPN648,BBF10K_001398
MPN491,BBF10K_001237
dnaJ,BBF10K_000769
MPN404,BBF10K_001152
rimK,BBF10K_000764
glyA,BBF10K_001326
MG_RS00040,BBF10K_001446
MPN316,BBF10K_001064
MG_RS02705,BBF10K_001940
trmD,BBF10K_001410
MG_RS01140,BBF10K_001661
MG_RS00735,BBF10K_001582
prrB,BBF10K_001034
gidA,BBF10K_001307
MG_RS02335,BBF10K_001866
MG_RS00645,BBF10K_001565
MPN530,BBF10K_001278
MG_RS00200,BBF10K_001476
MPN559,BBF10K_001309
MG_RS01050,BBF10K_001643
MPN639,BBF10K_001389
MG_RS00990,BBF10K_001631
MG_RS00630,BBF10K_001562
MG_RS01020,BBF10K_001637
rplB,BBF10K_000909
ugpC,BBF10K_000874
MPN048,BBF10K_000796
MPN488,BBF10K_001232
MG_RS00520,BBF10K_001540
groES,BBF10K_001324
MG_RS00185,BBF10K_001473
MPN482,BBF10K_001227
MPN474a,BBF10K_001218
MPN550,BBF10K_001300
MG_RS00245,BBF10K_001485
MPN288,BBF10K_001037
MG_RS00590,BBF10K_001554
mgtA,BBF10K_000953
MG_RS00450,BBF10K_001526
MG_RS00050,BBF10K_001448
rpsN,BBF10K_000920
prs,BBF10K_000822
lgt,BBF10K_000969
adk,BBF10K_000927
MPN596,BBF10K_001348
MG_RS01720,BBF10K_001756
MG_RS00255,BBF10K_001487
MG_RS01035,BBF10K_001640
ulaD,BBF10K_001240
MG_RS00605,BBF10K_001557
MPN478,BBF10K_001222
MG_RS02425,BBF10K_001884
dnaX,BBF10K_001370
proS,BBF10K_001150
MPN677,BBF10K_001428
MPN202,BBF10K_000947
MG_RS02045,BBF10K_001811
MG_RS00290,BBF10K_001495
dnaK,BBF10K_001185
MPN348,BBF10K_001096
MG_RS02370,BBF10K_001873
MPN236,BBF10K_000982
MPN495,BBF10K_001242
MPN151,BBF10K_000890
MG_RS01905,BBF10K_001792
lysS,BBF10K_001027
MPN612,BBF10K_001364
MG_RS00555,BBF10K_001547
MPN288a,BBF10K_001038
MG_RS01705,BBF10K_001753
lip3,BBF10K_001266
MG_RS00160,BBF10K_001468
uhpT,BBF10K_000825
MG_RS02725,BBF10K_001944
MPN308,BBF10K_001056
MG_RS01840,BBF10K_001779
tyrS,BBF10K_001420
gap1,BBF10K_001068
apt,BBF10K_001143
MPN204,BBF10K_000948
trpS,BBF10K_001013
MG_RS01445,BBF10K_001711
cbiO,BBF10K_001184
MG_RS01455,BBF10K_001713
P29,BBF10K_001167
MPN465a,BBF10K_001210
MG_RS02585,BBF10K_001917
aspS,BBF10K_000792
MG_RS01585,BBF10K_001734
MG_RS00250,BBF10K_001486
MPN254,BBF10K_001001
yjcW,BBF10K_001006
MPN225a,BBF10K_000971
rpsD,BBF10K_001194
lig,BBF10K_001105
MG_RS00220,BBF10K_001480
hpt,BBF10K_001424
MG_RS02235,BBF10K_001847
MPN212,BBF10K_000956
pstB,BBF10K_001361
A65_orf475,BBF10K_001010
