name,ncbi,wiki,protein,enzyme
ftsI,https://www.ncbi.nlm.nih.gov/gene?term=944799,http://ecoliwiki.net/colipedia/index.php/b0084,https://www.ncbi.nlm.nih.gov/protein/NP_414626.1,
ribF,https://www.ncbi.nlm.nih.gov/gene?term=949129,http://ecoliwiki.net/colipedia/index.php/b0025,https://www.ncbi.nlm.nih.gov/protein/NP_414566.1,https://enzyme.expasy.org/EC/2.7.1.262.7.7.2
murD,https://www.ncbi.nlm.nih.gov/gene?term=944818,http://ecoliwiki.net/colipedia/index.php/b0088,https://www.ncbi.nlm.nih.gov/protein/NP_414630.1,https://enzyme.expasy.org/EC/6.3.2.9
frr,https://www.ncbi.nlm.nih.gov/gene?term=946122,http://ecoliwiki.net/colipedia/index.php/b0172,https://www.ncbi.nlm.nih.gov/protein/NP_414714.1,
bamA,https://www.ncbi.nlm.nih.gov/gene?term=944870,http://ecoliwiki.net/colipedia/index.php/b0177,https://www.ncbi.nlm.nih.gov/protein/NP_414719.1,
cohE,https://www.ncbi.nlm.nih.gov/gene?term=945719,http://ecoliwiki.net/colipedia/index.php/b1145,https://www.ncbi.nlm.nih.gov/protein/NP_415663.1,
adk,https://www.ncbi.nlm.nih.gov/gene?term=945097,http://ecoliwiki.net/colipedia/index.php/b0474,https://www.ncbi.nlm.nih.gov/protein/NP_415007.1,https://enzyme.expasy.org/EC/2.7.4.3
lnt,https://www.ncbi.nlm.nih.gov/gene?term=946201,http://ecoliwiki.net/colipedia/index.php/b0657,https://www.ncbi.nlm.nih.gov/protein/NP_415190.1,https://enzyme.expasy.org/EC/2.3.1.-
lolA,https://www.ncbi.nlm.nih.gov/gene?term=948989,http://ecoliwiki.net/colipedia/index.php/b0891,https://www.ncbi.nlm.nih.gov/protein/NP_415411.2,
lpxD,https://www.ncbi.nlm.nih.gov/gene?term=944882,http://ecoliwiki.net/colipedia/index.php/b0179,https://www.ncbi.nlm.nih.gov/protein/NP_414721.1,https://enzyme.expasy.org/EC/2.3.1.-
secM,https://www.ncbi.nlm.nih.gov/gene?term=944831,http://ecoliwiki.net/colipedia/index.php/b0097,https://www.ncbi.nlm.nih.gov/protein/NP_414639.2,
murC,https://www.ncbi.nlm.nih.gov/gene?term=946153,http://ecoliwiki.net/colipedia/index.php/b0091,https://www.ncbi.nlm.nih.gov/protein/NP_414633.1,https://enzyme.expasy.org/EC/6.3.2.8
hemB,https://www.ncbi.nlm.nih.gov/gene?term=945017,http://ecoliwiki.net/colipedia/index.php/b0369,https://www.ncbi.nlm.nih.gov/protein/NP_414903.4,https://enzyme.expasy.org/EC/4.2.1.24
cydC,https://www.ncbi.nlm.nih.gov/gene?term=945504,http://ecoliwiki.net/colipedia/index.php/b0886,https://www.ncbi.nlm.nih.gov/protein/NP_415406.1,
serS,https://www.ncbi.nlm.nih.gov/gene?term=945506,http://ecoliwiki.net/colipedia/index.php/b0893,https://www.ncbi.nlm.nih.gov/protein/NP_415413.1,https://enzyme.expasy.org/EC/6.1.1.11
tilS,https://www.ncbi.nlm.nih.gov/gene?term=944889,http://ecoliwiki.net/colipedia/index.php/b0188,https://www.ncbi.nlm.nih.gov/protein/NP_414730.1,https://enzyme.expasy.org/EC/6.1.1.5
proS,https://www.ncbi.nlm.nih.gov/gene?term=949116,http://ecoliwiki.net/colipedia/index.php/b0194,https://www.ncbi.nlm.nih.gov/protein/NP_414736.1,https://enzyme.expasy.org/EC/6.1.1.15
entD,https://www.ncbi.nlm.nih.gov/gene?term=945194,http://ecoliwiki.net/colipedia/index.php/b0583,https://www.ncbi.nlm.nih.gov/protein/NP_415115.2,https://enzyme.expasy.org/EC/2.7.8.-
